SKU;Brand;Nama Produk;Price List NFI;Harga Display;Harga Cost;Harga Organik;Kode;Alias SKU 1;Alias Nama 1;Alias SKU 2;Alias Nama 2;Alias SKU 3;Alias Nama 3;Alias SKU 4;Alias Nama 4;Produk 1;SKU Produk 1;PCS Produk 1;Price List NFI 1;Subtotal Produk 1;Harga Display 1;Harga Cost 1;Harga Organik 1;Produk 2;SKU Produk 2;PCS Produk 2;Price List NFI 2;Subtotal Produk 2;Harga Display 2;Harga Cost 2;Harga Organik 2;Produk 3;SKU Produk 3;PCS Produk 3;Price List NFI 3;Subtotal Produk 3;Harga Display 3;Harga Cost 3;Harga Organik 3;Produk 4;SKU Produk 4;PCS Produk 4;Price List NFI 4;Subtotal Produk 4;Harga Display 4;Harga Cost 4;Harga Organik 4;Produk 5;SKU Produk 5;PCS Produk 5;Price List NFI 5;Subtotal Produk 5;Harga Display 5;Harga Cost 5;Harga Organik 5;Produk 6;SKU Produk 6;PCS Produk 6;Price List NFI 6;Subtotal Produk 6;Harga Display 6;Harga Cost 6;Harga Organik 6;Produk 7;SKU Produk 7;PCS Produk 7;Price List NFI 7;Subtotal Produk 7;Harga Display 7;Harga Cost 7;Harga Organik 7;SKU Generate;Sub Brand;Parent Item;SKU Generate [0];Parent SKU;MP Tokopedia;MP Lazada;MP Blibli;MP Jdid;MP Bukalapak;MP Nutrimart;MP Eksklusif;MP Shopee;Alias Nama 5;Alias SKU 5;Alias Nama 6;Alias SKU 6;Alias Nama 7;Alias SKU 7
1;Nutrisari;tes produk;1000.0;1000;1000;1000;A9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Nutrisari;tes produk 2;1000.0;1000;1000;1000;A5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;L-Men Suplemen;L-Men Platinum Choco Latte 800gr (25gr protein);;;;;;;;;;;;;;;;
1100525104P1B3;Bundle;Nutrisari Premium Ala Jus Jambu Free Nutrisari Premium Jus Jambu (Selama Persediaan Ada);9900.0;11900;9900;0;;;;;;;;;;NutriSari Premium ala Jus Jambu (4 sch);1100525104;1.0;9900.0;9900.0;11900.0;9900.0;0.0;(50%)NutriSari Premium ala Jus Jambu;(50%)1100525104;3.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;1100525104P1E3(3);;;;;;;;;;;;;;;
1101003180P2;Bundle;NutriSari Jeruk Nipis 500gr Twin Pack;36300.0;43600;36300;0;;;;;;;;;;NutriSari Jeruk Nipis 500gr;1101003180;1.0;36300.0;36300.0;43600.0;36300.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;1101003180P1;;;;;;;;;;;;;;;
1101522451P3;Bundle;Buy 2 Get 1 FREE NutriSari Blewah 10 Sachet;30690.0;46500;30690;0;;;;;;;;;;NutriSari Blewah (10 SCH);1101522451;3.0;10230.0;30690.0;46500.0;30690.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;1101522451P3;;;;;;;;;;;;;;;
1101558017P3;Bundle;Buy 2 Get 1 FREE NutriSari Jeruk Nipis 10 Sachet;41250.0;46500;41250;0;;;;;;;;;;Nutrisari Jeruk Nipis (10 sch);1101558017;3.0;13750.0;41250.0;46500.0;30690.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;1101558017P3;;;;;;;;;;;;;;;
1101569451B3;Bundle;Nutrisari Jeruk Peras x10sachet (Free Nutrisari Premium Jus Jambu (Selama Persediaan Ada));10230.0;15500;10230;0;;7.50E+11;Nutrisari Jeruk Peras 10 Sachet Free Nutrisari Premium Jus Jambu (Selama Persediaan Ada);;;;;;;NutriSari Jeruk Peras (10 Sch);1101569451;1.0;10230.0;10230.0;15500.0;10230.0;0.0;(50%)NutriSari Premium ala Jus Jambu;(50%)1100525104;1.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;1101569451P1E3;;;;;;;;;;;;;;;
1101569451P3;Bundle;Buy 2 Get 1 FREE NutriSari Jeruk Peras 10 Sachet;30690.0;46500;30690;0;;;;;;;;;;NutriSari Jeruk Peras (10 Sch);1101569451;3.0;10230.0;30690.0;46500.0;30690.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;1101569451P3;;;;;;;;;;;;;;;
1101572016P2;Bundle;Nutrisari Jeruk Jeju isi 10s x2;28600.0;34400;28600;0;;;;;;;;;;Nutrisari Jeruk Jeju (10 sch) Gusset;1101572016;2.0;14300.0;28600.0;34400.0;28600.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;1101572016P2;;;;;;;;;;;;;;;
1101572451P2G58;Bundle;NS JERUK JEJU 10S x2 Free Fridge Magnet Jeju;20460.0;36000;24535;0;;;;;;;;;;Nutrisari Jeruk Jeju (10 sch) Renceng;1101572451;2.0;10230.0;20460.0;31000.0;20460.0;0.0;(FREE) Fridge Magnet Nutrisari Jeju Orange;(B)71210075;1.0;0.0;0.0;5000.0;4075.0;0.0;;;;;;;;0.0;;;;;;;;0.0;;;;;;;;0.0;;0.0;;;;0.0;0.0;0.0;;0.0;;;;0.0;0.0;0.0;;;;1101572451P2G58;;;;;;;;;;;;;;;
